age_first_funding_year,age_last_funding_year,funding_total_usd,status 
2.2493,3.0027,375000,1 
5.126,9.9973,40100000,1 
1.0329,1.0329,2600000,1 
3.1315,5.3151,40000000,1 
0,1.6685,1300000,0 
4.5452,4.5452,7500000,0 
1.7205,5.211,26000000,1 
1.6466,6.7616,34100000,1 
3.5863,11.1123,9650000,1 
1.6712,4.6849,5750000,1 
4.6274,9.4493,27500000,1 
1.0849,5.337,10400000,0 
4.9041,4.9041,350000,0 
0.0192,2.4356,9950000,1 
4.6658,8.9973,10700000,1 
6.6082,6.6082,200000,0 
2.5863,6.7644,49000000,0 
4.5918,7.1726,25000000,1 
0.7425,1.5808,4575000,1 
2.5014,2.8301,28000000,0 
2.2137,3.7863,4355000,1 
3.8329,3.8329,15000000,0 
5.4904,5.4904,3170000,0 
-1,3.3151,2300000,0 
0.2521,0.337,455000,0 
4.8411,4.8411,13000000,1 
4.0603,4.0603,15000000,1 
4.0685,4.0685,3800000,1 
2.5068,4.5315,299500000,1 
1.189,1.189,1000000,1 
1.3534,2.1644,10500000,0 
4.1534,5.1671,8600000,1 
-0.1671,2.0192,5000000,0 
0,0.8685,2304999,1 
0.0822,0.0822,25000,0 
2.6575,2.6575,4000000,0 
0.6192,1.5945,14600000,0 
1.063,5.7014,44000000,0 
0.1671,2.6493,1822922,1 
0,5.9041,29915001,1 
0,4.8027,33000000,1 
0,0.5836,125000,1 
0.1041,2.3863,4000000,0 
3.4904,3.4904,10000000,1 
4.6658,4.6658,6000000,1 
2.6247,2.6247,25000000,1 
0.926,2.9534,3750000,1 
0.2466,0.2466,3000000,1 
0.189,1.189,1155000,1 
3.2082,3.2082,10000000,1 
2.5836,2.5836,3000000,1 
1.8932,2.4466,11500000,1 
0.7479,0.7479,5000000,1 
5.1863,6.8137,29000000,1 
0.6712,6.2329,34700000,1 
1.1863,3.4986,12050000,0 
2.1644,4.7616,12000000,1 
4.1041,4.1041,5500000,1 
1.989,4.1534,24000000,1 
5.2027,6.189,10000000,1 
2.7836,10.9507,19009671,0 
3.4986,3.4986,5000000,0 
4.0466,9.3041,18914576,1 
6.3726,6.3726,4000000,0 
1.326,2.7836,2030882,1 
2.6438,2.6438,5000000,1 
1.0877,1.0877,20500000,0 
3.9616,6.5205,13250000,1 
7.2548,7.2548,12000000,1 
1.3342,3.0247,11489687,1 
0.6795,0.6795,4000000,1 
-0.0301,-0.0301,355000,1 
0,0.2466,118000,1 
1.6685,9.337,40400000,1 
1.8055,1.8055,3000000,0 
2.6986,4.0027,19700000,0 
9.1671,9.1973,17800000,0 
0.011,2.0986,57500000,1 
0.6658,3.0384,17200000,1 
-0.5836,1.3425,457282,0 
-0.0219,2.0329,18500000,1 
2.0466,2.0466,12000000,0 
3.5123,3.9562,510000000,0 
3.9342,4.6822,18250000,1 
2.1616,5.6384,41500019,1 
5.4411,5.4411,1000000,0 
1.1288,1.1288,5000000,1 
7.8877,10.6658,42700000,0 
0.8822,0.8822,12000000,0 
2.526,3.1041,22300000,1 
4.0027,7.8712,10000000,1 
1.1671,4.6658,15564591,0 
2.5726,2.5726,500000,1 
0.1151,1.3397,8950000,1 
1.7479,4.8192,55350000,1 
3.7233,3.7233,4000000,0 
1.6986,6.5151,10764323,1 
1.4082,1.4082,5500000,0 
4.2849,4.2849,400000,1 
0.7507,3.0137,54000000,0 
20.8055,20.8055,32000000,0 
5.789,5.789,13000000,1 
0.0849,1.2712,12500000,1 
2.3507,8.2822,38064570,1 
-0.4959,1.2548,6000000,1 
2.4658,4.8329,5000000,0 
0,7.1068,59000000,1 
1.0356,1.0356,1000000,0 
2.7233,2.7233,600000,1 
2.8356,3.1397,125000000,0 
0.7945,2.9014,2750000,1 
2.9178,4.7342,30000000,1 
4.0137,4.0137,7000000,0 
0.411,0.411,6100000,1 
0.5315,1.9205,2100000,0 
0.1452,0.5014,2565000,1 
10.7589,10.7589,2000000,0 
2.5671,5.6904,22400000,1 
1.0822,1.0822,6250000,1 
1.7479,1.7479,575000,1 
0,0.5808,53000,0 
0.9151,2.7753,9500000,1 
-0.7479,0.8192,3500000,0 
0.7726,1.4959,10500000,1 
0.7562,4.4137,34250000,1 
0.6795,4.5507,85381111,1 
6.1671,7.9205,100000000,1 
-1.011,1.4877,125000,0 
2.3178,4.2356,10600000,0 
2.4192,5.4384,26100000,1 
7.5315,7.5315,30000000,1 
1.0575,1.7699,132885,0 
0.6,4.2247,9500000,1 
6.1233,6.1233,18000000,1 
1.8329,1.8329,690000,0 
5.1644,6.0055,25131611,1 
3.5288,3.5288,2000000,0 
1.5836,6.6466,78750000,1 
0.2521,4.4055,48500000,1 
0.5726,0.5726,15000000,0 
0.9397,5.3178,74000000,1 
0.7479,2.3315,15000000,1 
2.0027,3.9178,45000000,0 
1.9178,1.9178,4410000,1 
0,0.8959,4500000,1 
1.6712,3.7863,11040000,1 
1.8822,1.8822,1600000,1 
3.4164,3.874,9000000,1 
1.3041,2.6493,3282327,1 
4.1644,4.1644,24700000,1 
5.6986,6.8877,8800000,0 
1.1836,1.1836,1700000,0 
0.2493,0.2493,20000,0 
3.1041,4.9205,11500000,1 
2.3068,9.4247,98170000,0 
1.2219,1.2219,1350000,1 
4.7068,4.7068,940261,1 
1.6658,3.6712,4000000,1 
1.9562,1.9562,5000000,0 
0.0027,0.0027,20000,0 
4.0301,4.0301,12500000,1 
1.3397,4.6548,7228704,0 
4.3836,5.9562,55000000,0 
2.063,6.6137,15180000,1 
2.3479,3.4301,30000000,0 
2.5233,2.6685,14500000,1 
2.0685,2.0685,6500000,1 
0,0,15000,0 
0.7288,3.6055,4705910,1 
2.8055,2.8055,3000000,1 
0.7452,4.9178,125250000,1 
0.3315,4.0027,1449998,0 
0.6959,1.189,6000000,1 
2.0603,6.2301,28200000,1 
